,world,bridge,bush,reward,pRot,max_pbait,min_pbait,pDecay,pStep,trialNum,trialStartTimeAbs,trialStart,clientTrialStart,trialEnd,goCueTime,choice,choiceTime,side,actBait_1,actBait_2,actRot_1,actRot_2,baited_1,baited_2,pBait_1,pBait_2,trialStart_C,clientTrialStart_C,postITI,postITI_C,goCueTime_C,choiceTime_2,postChoiceTimeMin,postChoiceTimeMin_C,trialEnd_C,trialStart_s,goCueTime_s,choiceTime_s,postChoiceTimeMin_s,trialEnd_s,rewardCue_s,len_begin_choice_s,len_choice_reward_s,len_reward_end_s,stay_hit,stay_miss,switch,stay_hit_prior,stay_miss_prior,switch_prior
53,2,0,2,2,0.1,0.32,0,0.97,0.02,54,1555984395776,261079,261145,265702,261174,choseTrap,261665,right,0,0,0,0,0,1,0.210118483293228,0.10988151670677204,0,60,261168,86,88,578,265363,4280,4618,261.079,261.174,261.665,265.363,265.702,264.365,0.5860000000000127,2.6999999999999886,1.336999999999989,1,0,0,0,0,1
54,2,0,2,0,0.1,0.32,0,0.97,0.02,55,1555984400408,265710,265774,270093,265803,choseTrap,266207,right,1,0,0,0,1,0,0.2622414940403213,0.05775850595967874,0,60,265801,86,88,492,269911,4197,4379,265.71,265.803,266.207,269.911,270.093,268.907,0.4970000000000141,2.6999999999999886,1.1860000000000355,0,1,0,1,0,0
55,2,0,2,0,0.1,0.32,0,0.97,0.02,56,1555984404796,270099,270161,275797,270190,choseTrap,271167,right,0,0,0,0,1,0,0.25243834169392604,0.06756165830607402,0,58,85,270188,83,1063,274869,4766,5693,270.099,270.19,271.167,274.869,275.797,273.86699999999996,1.0679999999999836,2.6999999999999886,1.9300000000000637,0,1,0,0,1,0
56,2,1,0,0,0.1,0.32,0,0.97,0.02,57,1555984410503,275806,275873,280211,275908,choseSwitch,276273,left,0,1,0,0,1,1,0.2690197991073113,0.05098020089268868,0,61,275902,93,95,463,279977,4167,4401,275.806,275.908,276.273,279.977,280.211,278.973,0.4670000000000414,2.6999999999999886,1.2379999999999995,0,0,1,0,1,0
57,1,0,1,1,0.1,0.32,0,0.97,0.02,58,1555984414915,280217,280280,285666,280310,choseTrap,280873,left,0,0,0,0,1,1,0.25666940739369026,0.06333059260630974,0,58,280305,84,86,652,284579,4358,5444,280.217,280.31,280.873,284.579,285.666,283.573,0.6560000000000059,2.6999999999999886,2.0930000000000177,1,0,0,0,0,1
58,1,0,1,0,0.1,0.32,0,0.97,0.02,59,1555984420370,285673,285739,290425,285770,choseTrap,286154,left,0,0,0,0,0,1,0.2832743721359757,0.03672562786402428,0,61,91,285765,88,478,289857,4180,4748,285.673,285.77,286.154,289.857,290.425,288.854,0.48099999999999454,2.6999999999999886,1.5710000000000264,0,1,0,1,0,0
59,1,0,1,0,0.1,0.32,0,0.97,0.02,60,1555984425129,290431,290495,295693,290525,choseTrap,290990,left,0,0,0,0,0,1,0.24534953176956725,0.07465046823043275,0,59,290520,84,88,553,294695,4259,5257,290.431,290.525,290.99,294.695,295.693,293.69,0.5590000000000259,2.6999999999999886,2.002999999999986,0,1,0,0,1,0
60,1,1,0,0,0.1,0.32,0,0.97,0.02,61,1555984430398,295701,295772,301294,295797,choseSwitch,296472,right,0,0,0,0,0,1,0.2993516649409885,0.02064833505901154,0,66,295791,86,88,767,300178,4473,5589,295.701,295.797,296.472,300.178,301.294,299.17199999999997,0.7709999999999582,2.6999999999999886,2.122000000000014,0,0,1,0,1,0
61,2,0,2,2,0.1,0.32,0,0.97,0.02,62,1555984435996,301299,301369,306968,301391,choseTrap,302508,right,0,0,0,0,0,1,0.30348129353941994,0.016518706460580068,0,66,301388,85,87,1204,306213,4910,5664,301.299,301.391,302.508,306.213,306.968,305.20799999999997,1.2090000000000032,2.6999999999999886,1.7600000000000477,1,0,0,0,0,1
62,2,0,2,0,0.1,0.32,0,0.97,0.02,63,1555984441671,306973,307043,311724,307075,choseTrap,307117,right,1,0,0,0,1,0,0.3058672317040311,0.014132768295968934,0,64,307072,95,97,141,310821,3844,4746,306.973,307.075,307.117,310.821,311.724,309.817,0.14400000000000546,2.6999999999999886,1.9069999999999823,0,1,0,1,0,0
